index,rating,gpt-3.5-turbo-0125,project,option_name,option_file,option_value,option_type,option_technology,dependent_option_name,dependent_option_value,dependent_option_file,dependent_option_type,dependent_option_technology,FP_FN_count
435,False,FP,spring-boot-admin,project.dependencies.dependency_spring-boot-starter-test.scope,spring-boot-admin-samples/spring-boot-admin-sample-eureka/pom.xml,test,UNKNOWN,maven,project.dependencies.dependency_spring-boot-starter-security.scope,test,spring-boot-admin-server-cloud/pom.xml,UNKNOWN,maven,1
445,False,FP,spring-boot-admin,project.build.pluginManagement.plugins.plugin_maven-clean-plugin.groupId,pom.xml,org.apache.maven.plugins,NAME,maven,project.build.pluginManagement.plugins.plugin_maven-dependency-plugin.groupId,org.apache.maven.plugins,pom.xml,NAME,maven,1
446,False,FP,spring-boot-admin,project.dependencyManagement.dependencies.dependency_testcontainers.scope,spring-boot-admin-build/pom.xml,test,UNKNOWN,maven,project.dependencies.dependency_spring-boot-starter-webflux.scope,test,spring-boot-admin-client/pom.xml,UNKNOWN,maven,2
450,False,FP,Spring-Cloud-Platform,project.parent_ace-security.version,ace-gate/pom.xml,version:2.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_ace-modules.version,version:2.0-SNAPSHOT,ace-modules/ace-tool/pom.xml,VERSION_NUMBER,maven,3
455,True,FN,Spring-Cloud-Platform,project.parent_ace-infrastructure.artifactId,ace-infrastructure/ace-monitor/pom.xml,ace-infrastructure,NAME,maven,project.artifactId,ace-infrastructure,ace-infrastructure/pom.xml,NAME,maven,1
459,False,FP,Spring-Cloud-Platform,FROM,ace-gate/src/main/docker/Dockerfile,livingobjects/jre8,PATH,docker,FROM,livingobjects/jre8,ace-modules/ace-admin/src/main/docker/Dockerfile,PATH,docker,3
462,True,FN,Spring-Cloud-Platform,project.artifactId,ace-gate/pom.xml,ace-gate,NAME,maven,project.modules.module,ace-gate,pom.xml,NAME,maven,2
465,False,FP,Spring-Cloud-Platform,ribbon.MaxAutoRetriesNextServer,ace-modules/ace-generator/src/main/resources/application.yml,1,NUMBER,spring,ribbon.MaxAutoRetriesNextServer,1,ace-modules/ace-sample/src/main/resources/application.yml,NUMBER,spring,2
469,False,FP,Spring-Cloud-Platform,project.dependencies.dependency_lucene-highlighter.groupId,ace-modules/ace-tool/pom.xml,org.apache.lucene,NAME,maven,project.dependencies.dependency_lucene-queryparser.groupId,org.apache.lucene,ace-modules/ace-tool/pom.xml,NAME,maven,3
478,False,FP,Spring-Cloud-Platform,management.endpoints.web.exposure.include,ace-modules/ace-admin/src/main/resources/application.yml,*,UNKNOWN,spring,management.endpoints.web.exposure.include,*,ace-modules/ace-sample/src/main/resources/application.yml,UNKNOWN,spring,1
493,False,FP,Spring-Cloud-Platform,feign.httpclient.enabled,ace-modules/ace-admin/src/main/resources/application.yml,FALSE,BOOLEAN,spring,feign.httpclient.enabled,FALSE,ace-modules/ace-sample/src/main/resources/application.yml,BOOLEAN,spring,1
496,False,FP,Spring-Cloud-Platform,project.dependencies.dependency_spring-cloud-openfeign-core.groupId,ace-dev-base/ace-auth-sdk/pom.xml,org.springframework.cloud,NAME,maven,project.dependencies.dependency_spring-cloud-starter-openfeign.groupId,org.springframework.cloud,ace-modules/ace-generator/pom.xml,NAME,maven,2
